AB,H,2B,3B,HR,BB,HBP,IBB,SB,CS,GIDP,SH,SF,BA,OBP,SLG,OPS,TB,RC,TA,ISO,SECA,RC27
100,20,7,0,1,1,1,0,2,0,0,0,1,0.2,0.214,0.3,0.514,30,6.85203883495,0.425,0.1,0.13,2.28401294498
57,16,2,1,2,3,2,0,0,0,0,0,0,0.281,0.339,0.456,0.795,26,9.24677419355,0.756097560976,0.175,0.228070175439,6.08933910307
70,21,1,1,5,7,2,0,0,0,0,0,0,0.3,0.38,0.557,0.937,39,15.6987341772,0.979591836735,0.257,0.357142857143,8.65032291398
85,18,3,0,3,5,1,1,1,0,0,0,1,0.212,0.261,0.353,0.614,30,8.43652173913,0.55223880597,0.141,0.211764705882,3.34979539642
114,35,11,0,9,10,3,0,1,0,0,0,1,0.307,0.375,0.64,1.015,73,29.0325,1.10126582278,0.333,0.429824561404,9.79846875
53,14,5,1,2,5,1,0,0,1,0,0,0,0.264,0.339,0.509,0.848,27,9.19728813559,0.8,0.245,0.320754716981,6.20816949153
94,28,4,2,8,16,0,0,1,1,0,0,1,0.298,0.396,0.638,1.035,60,25.2576576577,1.13432835821,0.34,0.510638297872,10.0287758347
57,15,5,1,0,7,0,0,3,0,0,0,0,0.263,0.344,0.386,0.73,22,8.724375,0.761904761905,0.123,0.298245614035,5.60852678571
41,14,3,0,1,3,2,1,1,0,0,0,0,0.341,0.413,0.488,0.901,20,8.9052173913,0.962962962963,0.147,0.243902439024,8.9052173913
106,29,6,0,1,14,1,3,1,1,0,0,0,0.274,0.364,0.358,0.722,38,14.7976859504,0.679487179487,0.084,0.216981132075,5.12227590591
34,10,1,0,1,3,0,0,0,0,0,0,0,0.294,0.351,0.412,0.763,14,5.19297297297,0.708333333333,0.118,0.205882352941,5.84209459459
93,25,5,0,3,10,4,0,4,0,0,0,0,0.269,0.364,0.419,0.784,39,16.2998130841,0.838235294118,0.15,0.301075268817,6.47198460693
79,22,6,0,4,8,0,2,2,2,0,0,0,0.278,0.345,0.506,0.851,40,13.7103448276,0.813559322034,0.228,0.329113924051,6.27422559906
109,26,5,0,7,6,1,0,0,0,0,0,0,0.239,0.284,0.477,0.762,52,15.310862069,0.710843373494,0.238,0.293577981651,4.98064187786
12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
124,40,8,1,11,19,2,6,13,1,0,0,1,0.323,0.418,0.669,1.087,83,38.704109589,1.36470588235,0.346,0.596774193548,12.1512902198
98,31,5,0,7,9,0,1,0,0,0,0,0,0.316,0.374,0.582,0.955,57,22.0859813084,0.985074626866,0.266,0.357142857143,8.90032082578
