AB,H,2B,3B,HR,BB,HBP,IBB,SB,CS,GIDP,SH,SF,BA,OBP,SLG,OPS,TB,RC,TA,ISO,SECA,RC27
123,20,2,1,3,7,1,2,0,0,0,0,2,0.163,0.211,0.268,0.479,33,7.49473684211,0.398058252427,0.105,0.162601626016,1.92721804511
56,14,5,0,3,3,1,0,2,0,0,0,0,0.25,0.3,0.5,0.8,28,9.024,0.809523809524,0.25,0.339285714286,5.80114285714
76,17,2,0,2,6,0,0,1,1,0,0,1,0.224,0.277,0.329,0.606,25,7.3156626506,0.516666666667,0.105,0.184210526316,3.23808018961
48,17,1,0,3,4,0,0,0,0,0,0,0,0.354,0.404,0.563,0.966,27,11.3238461538,1.0,0.209,0.291666666667,9.86270471464
25,5,0,0,1,2,0,0,0,0,0,0,0,0.2,0.259,0.32,0.579,8,2.20888888889,0.5,0.12,0.2,2.982
66,20,2,0,2,4,0,1,2,0,0,1,0,0.303,0.343,0.424,0.767,28,10.2557746479,0.739130434783,0.121,0.212121212121,5.89161522325
107,33,6,0,14,15,2,0,0,0,0,0,3,0.308,0.394,0.757,1.151,81,34.2440944882,1.32432432432,0.449,0.588785046729,12.0076694959
112,26,8,2,3,8,1,0,0,1,0,0,1,0.232,0.287,0.42,0.707,47,13.8954098361,0.632183908046,0.188,0.25,4.26336438152
125,43,11,1,5,3,1,0,4,1,0,0,1,0.344,0.362,0.568,0.93,71,26.4110769231,0.939759036145,0.224,0.272,8.48927472527
73,19,6,0,2,3,2,2,0,0,0,0,0,0.26,0.308,0.425,0.732,31,9.77846153846,0.666666666667,0.165,0.205479452055,4.88923076923
52,8,1,0,0,1,0,0,2,0,0,2,1,0.154,0.167,0.173,0.34,9,1.90607142857,0.272727272727,0.019,0.0769230769231,1.09497720365
29,3,0,1,0,8,0,0,0,1,0,0,1,0.103,0.289,0.172,0.462,5,2.0,0.444444444444,0.069,0.310344827586,1.92857142857
102,33,5,0,2,2,0,0,0,1,0,0,2,0.324,0.33,0.431,0.762,44,14.6135849057,0.642857142857,0.107,0.117647058824,5.48009433962
94,27,5,0,2,9,0,1,0,0,0,0,2,0.287,0.343,0.404,0.747,38,14.0982857143,0.701492537313,0.117,0.212765957447,5.51672049689
50,6,4,0,0,5,1,0,0,0,0,0,0,0.12,0.214,0.2,0.414,10,2.47714285714,0.363636363636,0.08,0.18,1.52006493506
121,37,7,0,4,20,0,2,4,0,0,2,0,0.306,0.404,0.463,0.867,56,25.4307692308,0.952380952381,0.157,0.355371900826,7.98407871199
138,35,7,1,5,14,3,1,0,1,0,0,1,0.254,0.333,0.428,0.761,59,20.8184615385,0.721153846154,0.174,0.268115942029,5.35331868132
12,2,0,0,0,0,0,0,0,0,0,2,0,0.167,0.167,0.167,0.333,2,0.434285714286,0.2,0.0,0.0,0.977142857143
116,29,6,0,2,3,3,1,8,3,0,0,1,0.25,0.285,0.353,0.638,41,12.2224390244,0.577777777778,0.103,0.172413793103,3.62643795229
13,2,0,0,0,1,0,0,0,0,0,2,0,0.154,0.214,0.154,0.368,2,0.61875,0.272727272727,0.0,0.0769230769231,1.28509615385
102,23,6,1,0,7,1,0,3,0,0,0,1,0.225,0.279,0.304,0.583,31,9.81945945946,0.53164556962,0.079,0.176470588235,3.31406756757
120,28,6,0,4,7,1,1,0,0,0,0,0,0.233,0.281,0.383,0.665,46,13.449375,0.586956521739,0.15,0.208333333333,3.94709918478
39,6,0,0,0,1,0,0,1,1,0,0,0,0.154,0.175,0.154,0.329,6,1.017,0.205882352941,0.0,0.025641025641,0.807617647059
122,39,8,0,13,13,0,0,0,0,0,0,2,0.32,0.38,0.705,1.084,86,34.32,1.19277108434,0.385,0.491803278689,10.9016470588
19,5,0,1,0,0,0,0,0,0,0,0,0,0.263,0.263,0.368,0.632,7,1.84210526316,0.5,0.105,0.105263157895,3.55263157895
39,13,2,1,0,10,0,0,1,0,0,0,0,0.333,0.469,0.436,0.905,17,9.44408163265,1.07692307692,0.103,0.384615384615,9.8073155416
26,6,2,0,2,6,1,0,0,0,0,0,1,0.231,0.382,0.538,0.921,14,6.24764705882,1.05,0.307,0.538461538462,8.03268907563
73,22,5,0,1,6,1,1,3,0,0,1,0,0.301,0.363,0.411,0.773,30,12.0439506173,0.78431372549,0.11,0.232876712329,6.25358974359
121,44,15,1,5,7,2,1,9,1,0,0,1,0.364,0.405,0.628,1.033,76,33.0577099237,1.19230769231,0.264,0.388429752066,11.2982046575
46,9,0,0,0,2,0,1,1,1,0,0,0,0.196,0.229,0.196,0.425,9,2.0375,0.289473684211,0.0,0.0434782608696,1.44769736842
97,23,3,0,2,8,2,0,0,0,0,2,1,0.237,0.306,0.33,0.635,32,10.848,0.567567567568,0.093,0.175257731959,3.80384415584
46,11,3,0,3,0,1,0,0,0,0,0,0,0.239,0.255,0.5,0.755,23,5.93872340426,0.685714285714,0.261,0.260869565217,4.58130091185
120,31,11,2,5,23,1,0,2,0,0,0,0,0.258,0.382,0.508,0.89,61,26.0791666667,0.977528089888,0.25,0.458333333333,7.91165730337
95,22,6,0,5,24,0,2,1,0,0,0,0,0.232,0.387,0.453,0.839,43,19.0339495798,0.931506849315,0.221,0.484210526316,7.03995395418
85,20,4,0,2,3,1,0,0,1,0,0,0,0.235,0.27,0.353,0.623,30,8.02157303371,0.5,0.118,0.141176470588,3.2815526047
101,31,9,1,1,16,0,0,0,0,0,0,1,0.307,0.398,0.446,0.844,45,19.7877966102,0.871428571429,0.139,0.29702970297,7.52493673908
114,30,10,1,5,15,0,1,1,0,0,0,0,0.263,0.349,0.5,0.849,57,21.3348837209,0.869047619048,0.237,0.377192982456,6.85764119601
104,26,5,0,2,14,1,3,0,0,0,0,0,0.25,0.345,0.356,0.7,37,13.8228571429,0.666666666667,0.106,0.240384615385,4.78483516484
108,29,4,1,2,7,2,0,0,0,0,0,0,0.269,0.325,0.38,0.704,41,14.0762393162,0.632911392405,0.111,0.175925925926,4.81086660175
111,35,7,0,3,17,0,0,7,0,0,0,1,0.315,0.403,0.459,0.863,51,24.016744186,0.986842105263,0.144,0.36036036036,8.42145575355
121,42,6,2,6,23,2,4,5,0,0,0,1,0.347,0.456,0.579,1.034,70,35.8153741497,1.26582278481,0.232,0.462809917355,12.0876887755
96,21,4,0,6,17,2,1,0,0,0,0,2,0.219,0.342,0.448,0.79,43,16.6564102564,0.826666666667,0.229,0.40625,5.84055944056
131,38,5,0,6,7,2,0,1,1,0,0,1,0.29,0.333,0.466,0.799,61,21.0034042553,0.744680851064,0.176,0.229007633588,5.96938857783
30,7,1,0,0,3,1,0,0,0,0,0,0,0.233,0.324,0.267,0.59,8,2.92470588235,0.521739130435,0.034,0.133333333333,3.43335038363
12,0,0,0,0,2,0,0,0,1,0,0,1,0.0,0.133,0.0,0.133,0,0.0693333333333,0.0769230769231,0.0,0.0833333333333,0.133714285714
119,35,9,2,7,17,1,3,1,0,0,0,2,0.294,0.381,0.58,0.961,69,28.3912230216,1.04761904762,0.286,0.436974789916,8.91352350678
55,15,5,1,1,5,1,0,0,0,0,0,0,0.273,0.344,0.455,0.799,25,9.14360655738,0.775,0.182,0.272727272727,6.17193442623
23,8,1,0,1,7,1,1,2,2,0,0,1,0.348,0.5,0.522,1.022,12,6.72875,1.17647058824,0.174,0.478260869565,10.093125
117,26,3,0,5,18,0,0,1,0,0,0,0,0.222,0.326,0.376,0.702,44,16.0355555556,0.692307692308,0.154,0.316239316239,4.7578021978
100,24,9,0,3,9,1,2,4,0,0,0,2,0.24,0.304,0.42,0.724,42,14.3285714286,0.736842105263,0.18,0.31,4.95989010989
